url,name,brand,price,year,origin,transmission,body_type,engine,drive,mileage_km,seats,doors,exterior_color,interior_color,condition
https://bonbanh.com/xe-porsche-panamera-4s-2020-6092979,Porsche Panamera 4S,Porsche,3 Tỷ 889 Triệu,2020,Nhập khẩu,Số tự động,Sedan,Xăng 2.9 L,RFD - Dẫn động cầu sau,52000,4,4,Trắng,Màu khác,Xe đã dùng
https://bonbanh.com/xe-bmw-3_series-320i-sport-line-2024-6391368,BMW Series 320i Sport Line,BMW,1 Tỷ 450 Triệu,2024,Lắp ráp trong nước,Số tự động,Sedan,Xăng 2.0 L,RFD - Dẫn động cầu sau,13000,5,4,Trắng,Nâu,Xe đã dùng
https://bonbanh.com/xe-hyundai-santafe-cao-cap-2.2l-htrac-2021-6127953,Hyundai SantaFe Cao cấp HTRAC,Hyundai,1 Tỷ 60 Triệu,2021,Lắp ráp trong nước,Số tự động,SUV,Dầu 2.2 L,AWD - 4 bánh toàn thời gian,0,7,5,Đen,Đen,Xe đã dùng
https://bonbanh.com/xe-mazda-cx5-luxury-2.0-at-2022-6348095,Mazda CX5 Luxury,Mazda,710 Triệu,2022,Lắp ráp trong nước,Số tự động,SUV,Xăng 2.0 L,FWD - Dẫn động cầu trước,58000,5,5,Trắng,Đen,Xe đã dùng
https://bonbanh.com/xe-nissan-navara-le-2.5mt-4wd-2013-6391171,Nissan Navara LE .5MT,Nissan,275 Triệu,2013,Nhập khẩu,Số tay,Bán tải / Pickup,Dầu 2.5 L,4WD - Dẫn động 4 bánh,0,5,4,Trắng,Kem,Xe đã dùng
https://bonbanh.com/xe-mitsubishi-xpander-1.5-at-2020-6384161,Mitsubishi Xpander,Mitsubishi,465 Triệu,2020,Nhập khẩu,Số tự động,SUV,Xăng 1.5 L,FWD - Dẫn động cầu trước,80000,7,5,Trắng,Đen,Xe đã dùng
https://bonbanh.com/xe-mitsubishi-pajero-3.0-2003-6391141,Mitsubishi Pajero,Mitsubishi,120 Triệu,2003,Lắp ráp trong nước,Số tay,SUV,Xăng 3.0 L,4WD - Dẫn động 4 bánh,270000,7,5,Ghi,Ghi,Xe đã dùng
https://bonbanh.com/xe-mazda-3-1.5l-luxury-2024-6390878,Mazda Luxury,Mazda,598 Triệu,2024,Lắp ráp trong nước,Số tự động,Sedan,Xăng 1.5 L,FWD - Dẫn động cầu trước,11000,5,4,Xanh,Đen,Xe đã dùng
https://bonbanh.com/xe-ford-ecosport-titanium-1.5l-at-2018-6390782,Ford EcoSport Titanium,Ford,370 Triệu,2018,Lắp ráp trong nước,Số tự động,SUV,Xăng 1.5 L,FWD - Dẫn động cầu trước,83000,5,5,Trắng,Đen,Xe đã dùng
https://bonbanh.com/xe-toyota-corolla_altis-1.8g-at-2014-6092169,Toyota Corolla altis .8G,Toyota,450 Triệu,2014,Lắp ráp trong nước,Số tự động,Sedan,Xăng 1.8 L,FWD - Dẫn động cầu trước,78000,5,4,Đen,Đen,Xe đã dùng
https://bonbanh.com/xe-ford-everest-titanium-2.0l-4x2-at-2022-6362001,Ford Everest Titanium,Ford,913 Triệu,2022,Nhập khẩu,Số tự động,SUV,Dầu 2.0 L,RFD - Dẫn động cầu sau,63000,7,5,Đen,Đen,Xe đã dùng
https://bonbanh.com/xe-mazda-2-1.5-at-2018-6093234,Mazda,Mazda,345 Triệu,2018,Lắp ráp trong nước,Số tự động,Hatchback,Xăng 1.5 L,FWD - Dẫn động cầu trước,63000,5,5,Trắng,Xám,Xe đã dùng
https://bonbanh.com/xe-vinfast-vf8-plus-2023-6389194,VinFast VF8 Plus,Vinfast,850 Triệu,2023,Lắp ráp trong nước,Số tự động,SUV,Điện 0.2 L,AWD - 4 bánh toàn thời gian,32150,5,5,Đỏ,Nâu,Xe đã dùng
https://bonbanh.com/xe-vinfast-lux_a_2.0-premium-2.0-at-2021-6390452,VinFast Lux A Premium,Vinfast,619 Triệu,2021,Lắp ráp trong nước,Số tự động,Sedan,Xăng 2.0 L,RFD - Dẫn động cầu sau,42000,5,4,Đen,Nâu,Xe đã dùng
https://bonbanh.com/xe-daewoo-lacetti-cdx-1.6-at-2010-6390435,Daewoo Lacetti CDX,Daewoo,172 Triệu,2010,Nhập khẩu,Số tự động,Sedan,Xăng 1.6 L,FWD - Dẫn động cầu trước,1600000,5,4,Đen,Nâu,Xe đã dùng
https://bonbanh.com/xe-mitsubishi-grandis-2.4-at-2006-6390361,Mitsubishi Grandis,Mitsubishi,199 Triệu,2006,Lắp ráp trong nước,Số tự động,Crossover,Xăng 2.4 L,FWD - Dẫn động cầu trước,156789,7,5,Cát,Kem,Xe đã dùng
https://bonbanh.com/xe-kia-sorento-signature-2.2-at-awd-2022-6390303,Kia Sorento Signature,Kia,1 Tỷ 400 Triệu,2022,Lắp ráp trong nước,Số tự động,SUV,Dầu 2.2 L,AWD - 4 bánh toàn thời gian,70000,7,5,Đỏ,-,Xe đã dùng
https://bonbanh.com/xe-toyota-vios-1.5g-cvt-2021-6390287,Toyota Vios .5G,Toyota,420 Triệu,2021,Lắp ráp trong nước,Số tự động,Sedan,Xăng 1.5 L,FWD - Dẫn động cầu trước,0,5,4,Đỏ,Vàng,Xe đã dùng
https://bonbanh.com/xe-ford-ecosport-titanium-1.5l-at-2019-6390209,Ford EcoSport Titanium,Ford,420 Triệu,2019,Lắp ráp trong nước,Số tự động,SUV,Xăng 1.5 L,FWD - Dẫn động cầu trước,80000,5,5,Trắng,Trắng,Xe đã dùng
https://bonbanh.com/xe-mazda-3-1.6-at-2010-6390208,Mazda,Mazda,225 Triệu,2010,Nhập khẩu,Số tự động,Hatchback,Xăng 1.6 L,FWD - Dẫn động cầu trước,0,5,5,Đỏ,Đen,Xe đã dùng
https://bonbanh.com/xe-honda-crv-2.4-at---tg-2017-6320001,Honda CRV TG,Honda,565 Triệu,2017,Lắp ráp trong nước,Số tự động,SUV,Xăng 2.4 L,FWD - Dẫn động cầu trước,81000,5,5,Bạc,Đen,Xe đã dùng
https://bonbanh.com/xe-toyota-vios-1.5e-2014-6390110,Toyota Vios .5E,Toyota,195 Triệu,2014,Lắp ráp trong nước,Số tay,Sedan,Xăng 1.5 L,FWD - Dẫn động cầu trước,0,5,4,Đen,Vàng,Xe đã dùng
https://bonbanh.com/xe-vinfast-vf6-s-2024-6390103,VinFast VF6 S,Vinfast,605 Triệu,2024,Lắp ráp trong nước,Số tự động,SUV,Điện 0.6 L,FWD - Dẫn động cầu trước,29000,5,5,Xám,Xám,Xe đã dùng
https://bonbanh.com/xe-toyota-vios-e-cvt-2021-6347537,Toyota Vios E,Toyota,390 Triệu,2021,Lắp ráp trong nước,Số tự động,Sedan,Xăng 1.5 L,FWD - Dẫn động cầu trước,79000,5,4,Trắng,Nâu,Xe đã dùng
https://bonbanh.com/xe-toyota-yaris-1.3-at-2009-6333585,Toyota Yaris,Toyota,239 Triệu,2009,Nhập khẩu,Số tự động,Hatchback,Xăng 1.3 L,FWD - Dẫn động cầu trước,153215,5,5,Xám,Kem,Xe đã dùng
https://bonbanh.com/xe-toyota-camry-2.0g-2020-6093451,Toyota Camry .0G,Toyota,830 Triệu,2020,Nhập khẩu,Số tự động,Sedan,Xăng 2.0 L,FWD - Dẫn động cầu trước,60000,5,4,Trắng,Kem,Xe đã dùng
https://bonbanh.com/xe-kia-seltos-luxury-1.4-at-2022-6389989,Kia Seltos Luxury,Kia,590 Triệu,2022,Lắp ráp trong nước,Số tự động,Crossover,Xăng 1.4 L,FWD - Dẫn động cầu trước,35000,5,5,Trắng,Đen,Xe đã dùng
https://bonbanh.com/xe-kia-forte-si-1.6-at-2010-6389962,Kia Forte Si,Kia,218 Triệu,2010,Nhập khẩu,Số tự động,Sedan,Xăng 1.6 L,FWD - Dẫn động cầu trước,140000,5,4,Đen,Ghi,Xe đã dùng
https://bonbanh.com/xe-kia-carnival-premium-2.2d-7s-2023-6374531,Kia Carnival Premium .2D 7S,Kia,1 Tỷ 200 Triệu,2023,Lắp ráp trong nước,Số tự động,Van/Minivan,Dầu 2.2 L,FWD - Dẫn động cầu trước,30000,7,5,Đen,Nâu,Xe đã dùng
https://bonbanh.com/xe-mazda-cx5-premium-2.0-at-2022-6389906,Mazda CX5 Premium,Mazda,735 Triệu,2022,Lắp ráp trong nước,Số tự động,SUV,Xăng 2.0 L,FWD - Dẫn động cầu trước,0,5,5,Đỏ,Đen,Xe đã dùng
https://bonbanh.com/xe-mercedes_benz-glc-200-4matic-2019-6380899,Mercedes Benz GLC 4Matic,Mercedes,1 Tỷ 186 Triệu,2019,Lắp ráp trong nước,Số tự động,SUV,Xăng 2.0 L,AWD - 4 bánh toàn thời gian,86000,5,5,Trắng,Kem,Xe đã dùng
https://bonbanh.com/xe-hyundai-tucson-1.6-at-turbo-2017-6389531,Hyundai Tucson Turbo,Hyundai,530 Triệu,2017,Lắp ráp trong nước,Số tự động,Crossover,Xăng 1.6 L,FWD - Dẫn động cầu trước,200000,5,5,Đen,Kem,Xe đã dùng
https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2017-6389195,Mercedes Benz C class C300 AMG,Mercedes,820 Triệu,2017,Lắp ráp trong nước,Số tự động,Sedan,Xăng 2.0 L,RFD - Dẫn động cầu sau,65000,5,4,Trắng,Đỏ,Xe đã dùng
